id,road_team,home_team,total_game_minutes,road_team_final_score,home_team_final_score,road_team_rest,home_team_rest
21700291,Cleveland,Philadelphia,240,113,91,2,1
21700292,Detroit,Boston,240,118,108,2,3IN4
21700293,Portland,New York,240,103,91,3IN4,3IN4
21700294,Brooklyn,Houston,240,103,117,3IN4-B2B,1
21700295,Dallas,San Antonio,240,108,115,1,1
21700296,Sacramento,Golden State,240,110,106,1,3IN4
21700297,LA Lakers,LA Clippers,240,115,120,3+,1
21700298,Miami,Cleveland,240,97,108,1,B2B
21700299,Phoenix,Chicago,240,104,99,1,1
21700300,Washington,Minnesota,240,92,89,2,1
21700301,Denver,Utah,240,77,106,3+,2
21700302,Milwaukee,Sacramento,240,112,87,2,3IN4-B2B
21700303,Phoenix,Detroit,240,107,131,3IN4-B2B,1
21700304,Oklahoma City,Orlando,240,108,121,3+,1
21700305,Washington,Philadelphia,240,113,118,B2B,1
21700306,Miami,New York,240,86,115,3IN4-B2B,1
21700307,Charlotte,Toronto,240,113,126,3+,3+
21700308,Indiana,Houston,240,97,118,1,1
21700309,Minnesota,New Orleans,240,120,102,3IN4-B2B,3+
21700310,Brooklyn,Dallas,240,109,104,3IN4,1
21700311,Memphis,San Antonio,240,95,104,2,1
21700312,Golden State,LA Lakers,265,127,123,1,1
21700313,Cleveland,Atlanta,240,121,114,3IN4,3+
21700314,Philadelphia,Boston,240,97,108,3IN4-B2B,2
21700315,Chicago,Denver,240,110,111,1,1
21700316,Milwaukee,Portland,240,103,91,1,2
21700317,Utah,LA Clippers,240,126,107,1,2
21700318,Golden State,Orlando,240,133,112,1,1
21700319,Indiana,Toronto,240,115,120,1,1
21700320,Detroit,Washington,240,91,109,1,3IN4
21700321,Charlotte,Miami,240,100,105,1,3IN4
21700322,Sacramento,Chicago,240,107,106,2,3IN4-B2B
21700323,San Antonio,Memphis,240,95,79,1,1
21700324,Minnesota,Oklahoma City,240,107,111,3IN4,1
21700325,New Orleans,Utah,240,108,114,1,3IN4-B2B
21700326,Phoenix,Boston,240,111,116,2,1
21700327,LA Clippers,Dallas,240,82,108,1,2
21700328,Atlanta,Brooklyn,240,114,102,1,2
21700329,Memphis,Cleveland,240,111,116,3IN4-B2B,1
21700330,Detroit,Philadelphia,240,103,108,3IN4-B2B,3IN4
21700331,Sacramento,Milwaukee,240,104,109,B2B,1
21700332,LA Lakers,Denver,240,100,115,2,1
